,RoomType,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price,year,day,month,Predicted
36,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,276.0,Offline,0,0.0,95.0,2018.0,Saturday,September,1.0
37,Neptune,2,0,Not Selected,2,1,1.0,2.0,0.0,11.0,Online,0,0.0,144.0,2018.0,Wednesday,October,0.0
38,Neptune,2,0,Buffet,1,0,1.0,2.0,0.0,28.0,Offline,0,0.0,87.0,2018.0,Wednesday,March,0.0
39,Neptune,1,0,Buffet,0,0,0.0,1.0,0.0,0.0,Corporate,0,0.0,140.0,2018.0,Friday,May,0.0
40,Neptune,1,0,Luxury Buffet,0,0,0.0,2.0,0.0,292.0,Offline,0,0.0,90.0,2018.0,Saturday,July,0.0
41,Neptune,1,0,Buffet,1,1,0.0,1.0,4.0,2.0,Corporate,1,0.0,67.0,2018.0,Friday,May,0.0
42,Neptune,2,0,Not Selected,0,0,1.0,1.0,0.0,134.0,Online,0,0.0,94.5,2018.0,Wednesday,May,1.0
43,Neptune,2,0,Not Selected,1,0,2.0,1.0,0.0,131.0,Online,0,0.0,94.5,2018.0,Tuesday,May,0.0
44,Neptune,2,0,Not Selected,1,0,1.0,0.0,0.0,29.0,Online,0,0.0,119.0,2018.0,Tuesday,October,0.0
45,Neptune,1,0,Not Selected,0,0,0.0,1.0,0.0,1.0,Online,0,0.0,65.6,2018.0,Thursday,December,0.0
46,Neptune,2,0,Buffet,0,0,2.0,2.0,0.0,14.0,Online,0,0.0,147.5,2018.0,Sunday,April,1.0
47,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,3.0,Online,0,0.0,101.0,2018.0,Friday,March,0.0
48,Neptune,3,0,Luxury Buffet,1,0,2.0,1.0,0.0,138.0,Offline,0,0.0,138.5,2017.0,Tuesday,August,0.0
49,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,91.0,Offline,0,0.0,40.0,2018.0,Sunday,September,0.0
50,Neptune,1,0,Not Selected,3,0,2.0,3.0,0.0,49.0,Online,0,0.0,94.32,2018.0,Monday,September,0.0
51,Neptune,2,0,Buffet,0,0,0.0,1.0,0.0,41.0,Offline,0,0.0,65.0,2018.0,Thursday,December,0.0
52,Neptune,2,0,Buffet,0,0,2.0,2.0,0.0,125.0,Offline,0,0.0,55.0,2018.0,Tuesday,March,0.0
53,Venus,1,0,Buffet,0,0,2.0,2.0,0.0,3.0,Aviation,0,0.0,110.0,2018.0,Tuesday,September,0.0
54,Neptune,2,0,Buffet,0,0,2.0,1.0,0.0,8.0,Offline,0,0.0,86.53,2018.0,Tuesday,July,0.0
55,Neptune,2,0,Luxury Buffet,0,0,2.0,1.0,0.0,56.0,Online,0,0.0,162.9,2018.0,Tuesday,July,1.0
56,Jupiter,1,0,Buffet,0,0,2.0,2.0,0.0,44.0,Corporate,0,0.0,135.4,2018.0,Sunday,May,0.0
57,Neptune,2,0,Luxury Buffet,0,0,0.0,2.0,0.0,102.0,Offline,0,0.0,101.5,2017.0,Monday,October,1.0
58,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,123.0,Online,0,0.0,105.3,2018.0,Friday,May,1.0
59,Neptune,2,0,Buffet,1,0,1.0,4.0,0.0,220.0,Online,0,0.0,112.65,2018.0,Friday,October,1.0
60,Neptune,1,0,Buffet,0,0,0.0,2.0,0.0,164.0,Offline,0,0.0,100.0,2017.0,Monday,October,0.0
61,Neptune,1,0,Buffet,0,0,2.0,2.0,0.0,115.0,Offline,0,0.0,76.0,2018.0,Tuesday,February,0.0
62,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,31.0,Corporate,0,0.0,81.5,2018.0,Sunday,February,0.0
63,Neptune,2,0,Not Selected,0,0,0.0,2.0,0.0,180.0,Online,0,0.0,85.5,2018.0,Saturday,August,1.0
64,Jupiter,2,2,Buffet,1,0,1.0,2.0,0.0,29.0,Online,0,0.0,183.67,2017.0,Monday,December,0.0
65,Neptune,1,0,Buffet,0,0,0.0,3.0,0.0,7.0,Offline,0,0.0,112.0,2018.0,Saturday,May,0.0
66,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,186.0,Offline,0,0.0,40.0,2018.0,Sunday,April,0.0
67,Neptune,2,0,Not Selected,2,0,0.0,2.0,0.0,6.0,Online,0,0.0,69.5,2018.0,Friday,January,0.0
68,Neptune,2,0,Buffet,0,0,2.0,2.0,0.0,26.0,Offline,0,0.0,70.72,2018.0,Monday,December,0.0
69,Neptune,2,0,Not Selected,0,0,1.0,3.0,0.0,2.0,Offline,0,0.0,72.25,2018.0,Saturday,June,0.0
70,Neptune,2,0,Not Selected,1,0,2.0,1.0,0.0,53.0,Online,0,0.0,100.5,2018.0,Tuesday,July,0.0
71,Neptune,2,1,Buffet,2,0,0.0,1.0,0.0,26.0,Online,0,0.0,159.0,2018.0,Monday,September,0.0
72,Venus,2,0,Buffet,2,0,0.0,2.0,0.0,37.0,Online,0,0.0,105.3,2017.0,Sunday,October,0.0
73,Venus,2,0,Buffet,0,0,2.0,1.0,0.0,34.0,Offline,0,0.0,60.0,2017.0,Wednesday,November,0.0
74,Neptune,2,0,Luxury Buffet,0,0,0.0,2.0,0.0,257.0,Offline,0,0.0,101.5,2017.0,Saturday,July,1.0
75,Neptune,2,0,Buffet,1,1,1.0,1.0,0.0,77.0,Online,0,0.0,125.1,2018.0,Monday,June,0.0
76,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,155.0,Offline,0,0.0,89.76,2018.0,Sunday,October,1.0
77,Neptune,2,0,Not Selected,1,0,0.0,3.0,0.0,81.0,Online,0,0.0,79.2,2018.0,Saturday,December,0.0
78,Saturn,2,0,Buffet,1,1,0.0,4.0,0.0,215.0,Online,0,0.0,91.13,2018.0,Thursday,July,1.0
79,Neptune,2,0,Buffet,1,0,1.0,2.0,0.0,73.0,Online,0,0.0,62.29,2018.0,Sunday,March,0.0
80,Neptune,1,0,Buffet,0,0,2.0,0.0,0.0,13.0,Corporate,0,0.0,80.0,2018.0,Wednesday,January,0.0
81,Neptune,2,0,Buffet,2,0,2.0,3.0,0.0,248.0,Online,0,0.0,83.38,2018.0,Saturday,October,0.0
82,Neptune,2,0,Buffet,1,0,1.0,0.0,0.0,4.0,Online,0,0.0,139.0,2018.0,Tuesday,August,0.0
83,Neptune,2,0,Buffet,1,0,2.0,1.0,0.0,19.0,Online,0,0.0,66.57,2018.0,Tuesday,February,0.0
84,Neptune,2,0,Not Selected,0,0,0.0,4.0,0.0,234.0,Online,0,0.0,80.75,2018.0,Friday,August,1.0
85,Neptune,1,0,Luxury Buffet,0,0,0.0,2.0,0.0,6.0,Online,0,0.0,0.0,2017.0,Sunday,December,0.0
86,Neptune,2,0,Luxury Buffet,0,0,0.0,2.0,0.0,292.0,Offline,0,0.0,115.0,2018.0,Saturday,July,1.0
87,Neptune,2,0,Buffet,1,0,2.0,1.0,0.0,118.0,Online,0,0.0,87.3,2018.0,Tuesday,April,0.0
88,Neptune,2,0,Buffet,1,0,1.0,0.0,0.0,77.0,Online,0,0.0,105.3,2018.0,Tuesday,June,0.0
89,Neptune,2,0,Not Selected,3,0,0.0,2.0,0.0,13.0,Online,0,0.0,128.5,2018.0,Sunday,August,0.0
90,Saturn,2,0,Not Selected,0,0,0.0,2.0,0.0,103.0,Online,0,0.0,116.1,2018.0,Thursday,June,0.0
91,Saturn,2,0,Buffet,1,0,0.0,2.0,0.0,47.0,Online,0,0.0,105.5,2017.0,Sunday,November,0.0
92,Neptune,1,0,Buffet,2,0,1.0,2.0,53.0,2.0,Corporate,1,5.0,65.0,2018.0,Wednesday,November,0.0
93,Neptune,2,0,Not Selected,2,0,1.0,1.0,0.0,55.0,Online,0,0.0,79.2,2018.0,Monday,December,0.0
94,Mercury,3,0,Buffet,1,0,1.0,4.0,0.0,10.0,Online,0,0.0,160.16,2018.0,Wednesday,August,0.0
95,Neptune,2,0,Buffet,0,0,1.0,3.0,0.0,75.0,Offline,0,0.0,75.0,2018.0,Wednesday,April,0.0
96,Venus,2,0,Buffet,1,0,1.0,1.0,0.0,3.0,Online,0,0.0,177.5,2017.0,Tuesday,September,0.0
97,Neptune,1,0,Buffet,0,0,2.0,4.0,0.0,69.0,Offline,0,0.0,120.0,2018.0,Tuesday,June,1.0
98,Neptune,2,0,Not Selected,0,0,1.0,4.0,0.0,164.0,Online,0,0.0,89.25,2018.0,Wednesday,August,1.0
99,Neptune,2,0,Buffet,0,0,2.0,1.0,0.0,37.0,Offline,0,0.0,72.0,2018.0,Tuesday,November,0.0
100,Neptune,2,0,Buffet,1,0,2.0,3.0,0.0,68.0,Online,0,0.0,89.93,2018.0,Monday,April,0.0
101,Neptune,2,0,Buffet,1,0,2.0,2.0,0.0,153.0,Online,0,0.0,99.45,2018.0,Monday,July,0.0
102,Neptune,1,0,Not Selected,0,0,2.0,0.0,0.0,10.0,Online,0,0.0,149.0,2018.0,Tuesday,September,1.0
103,Jupiter,2,2,Buffet,2,0,1.0,2.0,0.0,7.0,Complementary,0,0.0,0.0,2017.0,Thursday,August,0.0
104,Neptune,2,0,Buffet,0,0,0.0,4.0,0.0,98.0,Offline,0,0.0,75.0,2018.0,Friday,December,0.0
105,Neptune,2,0,Buffet,0,0,2.0,1.0,0.0,92.0,Offline,0,0.0,100.0,2018.0,Monday,March,1.0
106,Neptune,2,0,Not Selected,0,1,0.0,3.0,0.0,35.0,Online,0,0.0,108.0,2018.0,Friday,August,0.0
107,Neptune,2,0,Buffet,0,0,0.0,1.0,0.0,289.0,Offline,0,0.0,67.0,2017.0,Tuesday,October,0.0
108,Neptune,2,0,Not Selected,0,0,0.0,1.0,0.0,9.0,Online,0,0.0,89.0,2018.0,Thursday,April,0.0
109,Neptune,1,0,Buffet,0,0,0.0,1.0,2.0,7.0,Corporate,1,1.0,65.0,2017.0,Monday,August,0.0
110,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,211.0,Offline,0,0.0,100.0,2018.0,Sunday,May,1.0
111,Neptune,2,0,Buffet,1,0,0.0,1.0,0.0,45.0,Online,0,0.0,106.2,2018.0,Saturday,April,0.0
112,Venus,2,0,Buffet,0,0,0.0,3.0,0.0,42.0,Offline,0,0.0,60.0,2017.0,Saturday,November,0.0
113,Neptune,2,0,Luxury Buffet,0,0,1.0,1.0,0.0,247.0,Offline,0,0.0,115.0,2018.0,Wednesday,June,1.0
114,Neptune,2,0,Buffet,0,0,0.0,1.0,0.0,157.0,Online,0,0.0,114.3,2018.0,Monday,August,1.0
115,Venus,2,0,Buffet,0,0,2.0,2.0,0.0,22.0,Online,0,0.0,80.8,2018.0,Monday,February,0.0
116,Neptune,2,0,Buffet,1,0,0.0,4.0,0.0,57.0,Online,0,0.0,85.85,2018.0,Friday,March,0.0
117,Venus,3,0,Buffet,0,0,1.0,3.0,0.0,42.0,Online,0,0.0,144.23,2018.0,Wednesday,August,1.0
118,Neptune,2,0,Buffet,0,0,0.0,1.0,0.0,0.0,Online,0,0.0,117.0,2017.0,Friday,December,0.0
119,Neptune,2,0,Buffet,3,0,2.0,1.0,0.0,4.0,Online,0,0.0,108.67,2018.0,Monday,November,0.0
120,Venus,2,0,Buffet,1,0,0.0,3.0,0.0,2.0,Online,0,0.0,176.0,2018.0,Saturday,May,0.0
121,Neptune,2,0,Buffet,1,0,0.0,5.0,0.0,32.0,Offline,0,0.0,85.0,2018.0,Thursday,October,0.0
122,Jupiter,2,2,Buffet,0,0,0.0,1.0,0.0,0.0,Complementary,0,0.0,0.0,2017.0,Tuesday,October,0.0
123,Neptune,2,0,Not Selected,1,0,1.0,2.0,0.0,56.0,Online,0,0.0,107.1,2018.0,Sunday,July,0.0
124,Neptune,2,0,Buffet,0,0,1.0,0.0,0.0,1.0,Online,0,0.0,101.0,2018.0,Wednesday,March,0.0
125,Neptune,2,0,Not Selected,0,0,1.0,0.0,0.0,0.0,Online,0,0.0,90.0,2018.0,Thursday,January,0.0
126,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,177.0,Offline,0,0.0,100.0,2018.0,Sunday,June,1.0
127,Neptune,2,0,Buffet,0,0,2.0,0.0,2.0,4.0,Corporate,1,0.0,75.0,2018.0,Tuesday,December,0.0
128,Neptune,3,0,Buffet,2,0,2.0,1.0,0.0,84.0,Online,0,0.0,103.72,2018.0,Tuesday,June,0.0
129,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,317.0,Online,0,0.0,120.0,2018.0,Saturday,September,1.0
130,Venus,2,0,Buffet,0,0,1.0,2.0,0.0,4.0,Offline,0,0.0,78.2,2017.0,Monday,November,0.0
131,Jupiter,2,2,Buffet,0,0,0.0,2.0,0.0,210.0,Offline,0,0.0,146.0,2018.0,Friday,July,1.0
132,Venus,2,0,Buffet,0,0,2.0,2.0,0.0,71.0,Online,0,0.0,101.87,2018.0,Sunday,October,1.0
133,Neptune,2,0,Not Selected,1,0,2.0,1.0,0.0,32.0,Online,0,0.0,99.0,2018.0,Tuesday,September,0.0
134,Venus,3,0,Buffet,2,0,2.0,2.0,0.0,19.0,Online,0,0.0,187.0,2018.0,Tuesday,July,0.0
135,Neptune,2,0,Buffet,1,0,0.0,3.0,0.0,113.0,Online,0,0.0,105.3,2018.0,Thursday,July,0.0
136,Neptune,1,0,Buffet,0,0,0.0,3.0,0.0,166.0,Offline,0,0.0,110.0,2018.0,Thursday,November,1.0
137,Neptune,2,0,Buffet,1,0,0.0,4.0,0.0,36.0,Online,0,0.0,129.0,2018.0,Friday,October,0.0
138,Neptune,3,0,Buffet,2,0,0.0,2.0,0.0,55.0,Online,0,0.0,159.3,2018.0,Sunday,April,0.0
139,Saturn,2,0,Buffet,1,0,0.0,3.0,0.0,86.0,Online,0,0.0,97.54,2018.0,Thursday,July,0.0
140,Saturn,2,0,Buffet,1,0,0.0,2.0,0.0,11.0,Complementary,0,0.0,0.0,2017.0,Monday,December,0.0
141,Neptune,2,0,Not Selected,2,0,0.0,2.0,0.0,35.0,Online,0,0.0,109.0,2018.0,Sunday,October,0.0
142,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,304.0,Offline,0,0.0,89.0,2018.0,Saturday,November,1.0
143,Neptune,1,0,Buffet,3,0,0.0,4.0,0.0,12.0,Online,0,0.0,97.0,2018.0,Thursday,November,0.0
144,Neptune,2,0,Buffet,1,0,2.0,2.0,0.0,71.0,Offline,0,0.0,80.75,2018.0,Sunday,June,0.0
145,Neptune,2,0,Buffet,2,0,0.0,1.0,0.0,1.0,Online,0,0.0,106.0,2017.0,Friday,August,0.0
146,Venus,2,0,Buffet,0,0,2.0,2.0,0.0,71.0,Online,0,0.0,132.6,2018.0,Tuesday,May,1.0
147,Neptune,2,0,Buffet,0,0,2.0,2.0,0.0,25.0,Offline,0,0.0,72.25,2018.0,Sunday,July,0.0
148,Venus,2,0,Buffet,0,0,1.0,5.0,0.0,17.0,Online,0,0.0,125.33,2017.0,Thursday,December,0.0
149,Venus,3,0,Buffet,1,0,2.0,1.0,0.0,34.0,Online,0,0.0,158.4,2018.0,Tuesday,October,0.0
150,Venus,1,0,Buffet,1,0,1.0,1.0,0.0,3.0,Online,0,0.0,177.5,2017.0,Tuesday,September,0.0
151,Jupiter,2,2,Buffet,1,0,1.0,1.0,0.0,76.0,Online,0,0.0,207.9,2018.0,Wednesday,August,0.0
152,Neptune,2,0,Not Selected,1,0,1.0,1.0,0.0,40.0,Online,0,0.0,134.1,2018.0,Monday,September,0.0
153,Neptune,2,0,Buffet,0,0,1.0,3.0,0.0,164.0,Online,0,0.0,99.45,2018.0,Wednesday,May,1.0
154,Neptune,1,0,Buffet,0,0,0.0,1.0,0.0,0.0,Corporate,0,0.0,89.0,2017.0,Sunday,November,0.0
155,Neptune,2,0,Buffet,0,1,1.0,1.0,0.0,4.0,Online,0,0.0,96.0,2017.0,Thursday,December,0.0
156,Neptune,1,0,Buffet,0,0,0.0,1.0,0.0,5.0,Offline,0,0.0,65.8,2018.0,Saturday,January,0.0
157,Venus,1,0,Buffet,1,0,1.0,2.0,0.0,253.0,Online,0,0.0,140.4,2018.0,Sunday,October,1.0
158,Neptune,2,0,Buffet,0,0,0.0,4.0,0.0,99.0,Online,0,0.0,73.95,2018.0,Thursday,March,0.0
159,Neptune,1,0,Buffet,0,0,2.0,2.0,0.0,54.0,Offline,0,0.0,66.5,2018.0,Tuesday,October,0.0
160,Neptune,2,0,Not Selected,0,0,2.0,0.0,0.0,18.0,Online,0,0.0,114.0,2018.0,Tuesday,June,1.0
161,Neptune,1,0,Buffet,0,1,0.0,2.0,5.0,2.0,Corporate,1,0.0,67.0,2018.0,Saturday,March,0.0
162,Neptune,3,0,Not Selected,1,0,0.0,2.0,0.0,36.0,Online,0,0.0,55.09,2017.0,Sunday,December,0.0
163,Neptune,2,0,Buffet,0,0,2.0,1.0,0.0,108.0,Online,0,0.0,98.25,2017.0,Tuesday,September,1.0
164,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,183.0,Offline,0,0.0,110.0,2018.0,Saturday,September,1.0
165,Neptune,2,0,Not Selected,2,0,2.0,1.0,0.0,24.0,Online,0,0.0,88.0,2018.0,Tuesday,December,0.0
166,Venus,2,0,Buffet,0,0,1.0,2.0,0.0,91.0,Offline,0,0.0,90.95,2018.0,Sunday,June,0.0
167,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,22.0,Offline,0,0.0,85.0,2018.0,Friday,October,0.0
168,Neptune,2,0,Not Selected,1,0,2.0,5.0,0.0,107.0,Online,0,0.0,76.69,2018.0,Friday,December,0.0
169,Neptune,2,0,Buffet,1,0,1.0,3.0,0.0,29.0,Online,0,0.0,89.9,2018.0,Saturday,November,0.0
170,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,24.0,Online,0,0.0,134.33,2018.0,Thursday,March,0.0
171,Venus,2,0,Buffet,0,0,2.0,2.0,0.0,59.0,Online,0,0.0,82.45,2018.0,Tuesday,March,1.0
172,Neptune,2,0,Not Selected,1,0,0.0,2.0,0.0,18.0,Online,0,0.0,139.0,2018.0,Sunday,July,0.0
173,Neptune,2,1,Buffet,1,0,0.0,2.0,0.0,46.0,Online,0,0.0,134.1,2018.0,Friday,June,0.0
174,Neptune,2,0,Buffet,0,0,0.0,3.0,0.0,120.0,Offline,0,0.0,80.75,2018.0,Friday,June,0.0
175,Neptune,2,0,Not Selected,0,0,0.0,1.0,0.0,225.0,Online,0,0.0,67.5,2018.0,Sunday,November,1.0
176,Neptune,2,0,Not Selected,1,0,2.0,3.0,0.0,98.0,Online,0,0.0,109.65,2018.0,Tuesday,May,0.0
177,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,186.0,Offline,0,0.0,80.0,2018.0,Sunday,April,0.0
178,Neptune,2,0,Not Selected,2,0,2.0,1.0,0.0,81.0,Online,0,0.0,125.1,2018.0,Monday,September,0.0
179,Neptune,2,0,Luxury Buffet,1,0,0.0,2.0,0.0,286.0,Offline,0,0.0,117.0,2018.0,Sunday,September,1.0
180,Neptune,2,0,Buffet,1,0,1.0,3.0,0.0,21.0,Online,0,0.0,126.0,2018.0,Wednesday,May,0.0
181,Neptune,3,0,Buffet,1,0,1.0,1.0,0.0,33.0,Corporate,0,0.0,95.0,2018.0,Thursday,January,0.0
182,Neptune,1,0,Luxury Buffet,0,0,0.0,2.0,0.0,5.0,Online,0,0.0,1.0,2018.0,Thursday,March,0.0
183,Neptune,2,0,Buffet,2,0,2.0,2.0,0.0,1.0,Online,0,0.0,89.25,2017.0,Tuesday,October,0.0
184,Neptune,2,0,Buffet,0,0,2.0,1.0,0.0,21.0,Online,0,0.0,103.67,2017.0,Wednesday,December,0.0
185,Neptune,2,0,Buffet,1,0,0.0,3.0,0.0,29.0,Online,0,0.0,86.93,2018.0,Thursday,March,0.0
186,Venus,2,0,Buffet,0,0,0.0,3.0,0.0,93.0,Offline,0,0.0,60.67,2017.0,Saturday,December,0.0
187,Neptune,2,0,Buffet,0,0,0.0,1.0,0.0,289.0,Offline,0,0.0,67.0,2017.0,Tuesday,October,0.0
188,Neptune,1,0,Buffet,0,0,1.0,1.0,3.0,5.0,Corporate,1,0.0,95.0,2018.0,Wednesday,May,0.0
189,Neptune,2,0,Buffet,0,0,2.0,3.0,0.0,19.0,Offline,0,0.0,80.0,2018.0,Tuesday,November,0.0
190,Neptune,2,0,Buffet,1,0,0.0,2.0,0.0,36.0,Offline,0,0.0,67.32,2018.0,Thursday,March,0.0
191,Neptune,1,0,Buffet,2,0,2.0,0.0,0.0,95.0,Online,0,0.0,90.0,2018.0,Tuesday,November,1.0
192,Neptune,1,0,Luxury Buffet,0,0,0.0,2.0,0.0,346.0,Offline,0,0.0,90.0,2018.0,Thursday,September,0.0
193,Neptune,1,0,Buffet,0,0,1.0,0.0,0.0,4.0,Corporate,0,0.0,65.0,2017.0,Thursday,October,0.0
194,Neptune,2,0,Buffet,2,0,1.0,2.0,0.0,50.0,Online,0,0.0,93.6,2018.0,Sunday,December,0.0
195,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,66.0,Offline,0,0.0,75.0,2017.0,Monday,October,0.0
196,Neptune,2,0,Buffet,2,0,1.0,2.0,0.0,3.0,Online,0,0.0,126.67,2017.0,Monday,August,0.0
197,Neptune,1,0,Buffet,0,0,0.0,2.0,0.0,0.0,Offline,0,0.0,100.0,2017.0,Sunday,October,0.0
198,Saturn,2,2,Buffet,0,0,0.0,3.0,0.0,5.0,Online,0,0.0,83.03,2018.0,Sunday,February,0.0
199,Neptune,1,0,Buffet,0,0,0.0,2.0,0.0,192.0,Offline,0,0.0,95.0,2018.0,Sunday,June,0.0
200,Neptune,2,0,Buffet,1,0,2.0,2.0,0.0,181.0,Online,0,0.0,103.95,2018.0,Monday,July,1.0
201,Neptune,2,0,Buffet,0,0,1.0,2.0,0.0,81.0,Offline,0,0.0,65.0,2018.0,Sunday,March,0.0
202,Neptune,2,0,Buffet,0,0,0.0,2.0,0.0,17.0,Offline,0,0.0,48.0,2017.0,Monday,October,0.0
203,Neptune,2,0,Not Selected,0,0,0.0,3.0,0.0,157.0,Online,0,0.0,85.5,2018.0,Saturday,June,1.0
204,Neptune,2,0,Not Selected,0,0,2.0,1.0,0.0,48.0,Online,0,0.0,104.49,2018.0,Monday,May,1.0
205,Neptune,2,0,Not Selected,1,0,2.0,2.0,0.0,15.0,Online,0,0.0,129.0,2018.0,Monday,August,0.0
206,Neptune,2,0,Not Selected,0,0,1.0,2.0,0.0,7.0,Online,0,0.0,79.0,2018.0,Monday,February,0.0
207,Neptune,2,0,Buffet,1,0,1.0,0.0,0.0,142.0,Online,0,0.0,96.3,2018.0,Wednesday,July,0.0
208,Neptune,2,0,Luxury Buffet,0,0,2.0,1.0,0.0,96.0,Offline,0,0.0,94.5,2017.0,Tuesday,July,1.0
